UMUR,JANTINA,PURATA KALORI,PURATA PROTEIN (IN OUNCES),PURATA BUAH-BUAHAN (IN CUPS),PURATA SAYUR-SAYURAN (IN CUPS),PURATA BIJIRIN (IN OUNCES),PURATA TENUSU (IN CUPS)
2,LELAKI,1200,3,1.25,1.25,4,2
2,PEREMPUAN,1200,3,1.25,1.25,4,2
3,LELAKI,1200,3,1.25,1.25,4,2
3,PEREMPUAN,1200,3,1.25,1.25,4,2
4,LELAKI,1600,4.25,1.5,2,5,2.5
4,PEREMPUAN,1500,4,1.25,2,5,2.5
5,LELAKI,1600,4.25,1.5,2,5,2.5
5,PEREMPUAN,1500,4,1.25,2,5,2.5
6,LELAKI,1600,4.25,1.5,2,5,2.5
6,PEREMPUAN,1500,4,1.25,2,5,2.5
7,LELAKI,1600,4.25,1.5,2,5,2.5
7,PEREMPUAN,1500,4,1.25,2,5,2.5
8,LELAKI,1600,4.25,1.5,2,5,2.5
8,PEREMPUAN,1500,4,1.25,2,5,2.5
9,LELAKI,2100,5.75,1.75,2.75,7,3
9,PEREMPUAN,1800,5,1.75,2.25,6,3
10,LELAKI,2100,5.75,1.75,2.75,7,3
10,PEREMPUAN,1800,5,1.75,2.25,6,3
11,LELAKI,2100,5.75,1.75,2.75,7,3
11,PEREMPUAN,1800,5,1.75,2.25,6,3
12,LELAKI,2100,5.75,1.75,2.75,7,3
12,PEREMPUAN,1800,5,1.75,2.25,6,3
13,LELAKI,2100,5.75,1.75,2.75,7,3
13,PEREMPUAN,1800,5,1.75,2.25,6,3
14,LELAKI,2600,6.25,2.25,3.25,8,3
14,PEREMPUAN,2100,5.75,1.75,2.75,7,3
15,LELAKI,2600,6.25,2.25,3.25,8,3
15,PEREMPUAN,2100,5.75,1.75,2.75,7,3
16,LELAKI,2600,6.25,2.25,3.25,8,3
16,PEREMPUAN,2100,5.75,1.75,2.75,7,3
17,LELAKI,2600,6.25,2.25,3.25,8,3
17,PEREMPUAN,2100,5.75,1.75,2.75,7,3
18,LELAKI,2600,6.25,2.25,3.25,8,3
18,PEREMPUAN,2100,5.75,1.75,2.75,7,3
